姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
关兴亚,1932年2月7日,男,辽宁省沈阳市,"(41.808644783515746, 123.43279092160505)",中国石化集团公司上海石油化工研究院,"(31.31254028204303, 121.58467303997914)",石油化工专家
李正名,1931年1月2日,男,江苏省苏州市,"(31.317987367952437, 120.61990711548988)",南开大学,"(39.10917044304344, 117.17530957847502)",有机化学与农药化学家
李龙土,1935年11月20日,男,福建省南安市,"(25.01797254509365, 118.38898065957538)",清华大学,"(40.00864488780562, 116.33375156995295)",无机非金属材料专家
周济,1962年2月10日,男,吉林九台,"(44.194372106981, 125.96882675838017)",清华大学,"(40.00864488780562, 116.33375156995295)",无机非金属材料专家
李俊贤,1928年3月10日,男,四川省眉山县,"(30.06111507994454, 103.84142956286796)",黎明化工研究院,"(34.709692775116466, 112.42838712553605)",化工合成专家
殷国茂,1932年1月29日,男,山东省龙口市,"(37.61040128167655, 120.5227995064041)",成都无缝钢管厂,"(30.679942845419564, 104.06792346330406)",轧管工艺与设备专家
杨启业,1932年1月2日,男,江苏省镇江市,"(32.20440944359928, 119.45583540512952)",中国石化工程建设有限公司,"(40.00730408250249, 116.41483535882722)",炼油工艺专家
徐匡迪,1937年12月11日,男,浙江省崇德县,"(29.159494120760925, 119.95720242066378)",北京科技大学,"(39.996548082835545, 116.36597539925762)",钢铁冶金专家
周光耀,1935年12月13日,男,浙江省鄞县,"(29.868398526014055, 121.57500554866306)",中国成达工程公司,"(30.557604703590908, 104.07598665356161)",无机化工专家
赵振业,1937年11月13日,男,河南省原阳县,"(35.02903561042861, 113.95316420006539)",北京航空材料研究院,"(40.038092219509835, 116.21838672346117)",金属材料专家
赵连城,1938年2月18日,男,江苏阜宁,"(33.711976048149985, 119.70499024879004)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",光电信息科学与工程专家
徐承恩,1927年1月21日,男,浙江省诸暨市,"(29.69939951698114, 120.28143440994458)",中国石化工程建设公司,"(40.006037282493864, 116.41479942660682)",炼油工艺设计专家
樊明武,1943年7月8日,男,湖北沙市,"(31.209316250139747, 112.41056219213213)",华中科技大学,"(22.53730682931616, 113.93059589017)",回旋加速器专家
多吉,1953年9月10日,男,西藏加查县,"(29.275255680225555, 92.72765884278328)",成都地质学院,"(30.675195111715393, 104.08248526511245)",地质学专家
邓运华,1963年2月20日,男,湖北红安,"(31.29012275322974, 114.62811879353431)",中国海洋石油总公司,"(39.94870713686542, 116.45243373921843)",石油地质学家
雷清泉,1938年7月23日,男,四川岳池,"(30.36748093795755, 102.89915972360397)",哈尔滨理工大学,"(45.71782783120475, 126.64155393276104)",绝缘技术专家
康红普,1965年11月16日,男,山西五台,"(38.77817400149207, 113.442104045353)",煤炭科学研究总院,"(39.97083158027116, 116.436401084307)",采矿工程专家
蒋洪德,1942年7月4日,男,湖南省长沙市,"(28.21347823085322, 112.9793527876505)",清华大学,"(40.00864488780562, 116.33375156995295)",叶轮机械与动力工程专家
杜祥琬,1938年4月29日,男,河南省开封市,"(34.80185417583674, 114.35164211776365)",国家能源专家咨询委员会,"(25.046796589566107, 101.55212993973123)",应用核物理、强激光技术和能源战略专家
黄其励,1941年1月25日,男,辽宁省营口市,"(40.66865106647352, 122.23339137079269)",国家电网公司,"(39.912398098762566, 116.38371785294454)",蒸汽工程专家
罗平亚,1940年6月3日,男,四川省隆昌县,"(29.36786874915794, 105.25295771713975)",西南石油学院“油气藏地质及开发工程”国家重点实验室,"(40.00690112636311, 116.33843187011762)",油田应用化学工程，石油工程专家
罗安,1957年7月21日,男,湖南长沙,"(28.21347823085322, 112.9793527876505)",湖南大学,"(28.184742991251174, 112.95248078590504)",电力电子变换与控制专家
刘吉臻,1951年8月14日,男,山西省岚县,"(38.343813372011674, 111.60664055967526)",华北电力大学,"(38.88288792535689, 115.51229874365995)",发电厂自动化技术专家
