姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
宁光,1963年6月22日,男,山东省滨州市,"(37.405313941825895, 117.96829241452845)",上海交通大学医学院附属瑞金医院,"(31.21813532258342, 121.47399287738291)",内分泌代谢病学专家
马丁,1957年4月24日,男,云南省昆明市,"(25.049153100453157, 102.71460113878045)",华中科技大学同济医学院附属同济医院,"(30.585012973330386, 114.26536364102357)",妇产科学专家
廖万清,1938年11月11日,男,广东梅县,"(24.364782435299553, 116.17102725100314)",海军军医大学皮肤性病与真菌病研究所,"(35.60616760677386, 115.95282919944871)",医学真菌病学专家
李兆申,1956年10月13日,男,河北省宁晋县,"(37.612086758173035, 115.0216784372147)",海军军医大学第一附属医院,"(40.83502136262128, 114.89666787576328)",消化病学专家
李松,1963年7月31日,男,辽宁省本溪市,"(41.32583762664885, 123.77806236979248)",军事科学院军事医学研究院毒物药物研究所,"(39.95145554855705, 116.20231181585176)",药物化学家
李兰娟,1947年9月13日,女,浙江绍兴,"(29.159494120760925, 119.95720242066378)",浙江大学附属第一医院,"(30.25999864126072, 120.18367341844693)",感染病（传染病）学家
李大鹏,1950年1月17日,男,温州永嘉,"(28.336390468031475, 120.66880872171774)",浙江中医药大学,"(30.179863819938777, 120.15863110421972)",中药制药学家
李春岩,1938年9月15日,男,河北廊坊大城,"(39.51861062508462, 116.70360222263986)",河北省神经病学重点实验室,"(38.61383974925108, 115.66143362422224)",神经病学学家
侯惠民,1940年10月13日,男,上海市,"(31.24916171001514, 121.48789948569473)",上海医药工业研究院,"(31.296360247175848, 121.4928513813439)",药物制剂专家
郝希山,1945年9月15日,男,河北省阜城县,"(37.91230921361678, 116.32842518536647)",天津市肿瘤研究所,"(39.08610245819651, 117.19103743742862)",肿瘤学家
韩雅玲,1953年6月8日,男,山东淄博,"(36.80468485421204, 118.05913427786938)",解放军沈阳军区总医院全军心血管病研究所,"(35.24171236301076, 113.23080396515695)",心血管病专家
韩德民,1951年5月4日,男,辽宁大连,"(38.94870993830429, 121.59347778143518)",北京同仁医院耳鼻咽喉头颈外科中心,"(39.908981328435964, 116.42422890361284)",耳鼻咽喉学专家
顾晓松,1953年12月2日,男,江苏省南通市,"(32.014664540823446, 120.87380095093022)",南通大学江苏省神经再生重点实验室,"(32.02394068285527, 120.9136492596407)",医学组织工程学与神经再生专家
丛斌,1957年7月19日,男,山东省文登市,"(37.15412026978127, 122.0107822332547)",河北医科大学,"(38.05192328296019, 114.54107403848616)",法医学及病理生理学
程书钧,1939年12月2日,男,浙江省临安,"(30.19589935964445, 119.36487228851084)",中国医学科学院肿瘤研究所/肿瘤医院,"(39.87837005262655, 116.45420988594057)",肿瘤专家
程京,1963年7月14日,男,安徽省安庆市,"(30.537897817381097, 117.0587387721073)",清华大学医学院生物医学工程系,"(40.01067696686225, 116.32431088029756)",医学生物物理学家（生物芯片方向）
张子仪,1925年3月4日,男,山西省临猗县,"(35.14937950112054, 110.62589540588894)",中国农科院畜牧所,"(39.90616969839341, 116.23130264991418)",动物营养学专家
袁隆平,1930年9月7日,男,江西德安县,"(29.40172848372757, 115.63408426446027)",西南农学院,"(39.098157338233506, 117.10706239837215)",杂交水稻育种专家
吴明珠,1930年1月3日,女,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",新疆农科院哈密瓜研究中心,"(43.82007305103525, 87.57991850259883)",园艺学专家
王明庥,1932年3月12日,男,湖北枝江,"(31.209316250139747, 112.41056219213213)",南京林业大学,"(32.08508447616385, 118.82189870675384)",林木遗传育种学家
颜龙安,1937年9月16日,男,江西萍乡,"(27.757258443440836, 115.67608236670434)",江西省农科院,"(27.757258443440836, 115.67608236670434)",作物遗传育种专家
向仲怀,1937年7月3日,男,重庆市武隆县,"(29.37927096359929, 107.71610570338773)",西南大学蚕学与系统生物学研究所,"(29.83041767011545, 106.43349608866563)",蚕学遗传育种专家
孙九林,1937年8月10日,男,江苏省盐城市,"(33.379861877120995, 120.14887181793894)",中国科学院地理科学与资源研究所,"(40.00884765106318, 116.39144790390881)",资源学家
束怀瑞,1929年9月26日,男,山东省淄博市,"(36.80468485421204, 118.05913427786938)",山东农业大学,"(36.20079646737484, 117.12514852398445)",果树学专家
汪懋华,1932年11月11日,男,广东省兴宁市,"(24.26731123802813, 115.75329965584116)",中国农业大学,"(40.01327629804713, 116.36082267393714)",农业工程-电子信息技术与自动化专家
石玉林,1936年1月2日,男,福建省长乐市,"(25.915538436924663, 119.56271983506848)",中国科学院地理科学与资源研究所,"(40.00884765106318, 116.39144790390881)",土地资源专家
石元春,1931年2月18日,男,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",中国农业大学,"(40.01327629804713, 116.36082267393714)",土壤学专家
沈国舫,1933年11月15日,男,浙江省嘉善县,"(30.905748069187133, 120.9088728159654)",北京林业大学,"(40.01132070583052, 116.3541342459405)",林学及生态学专家
林浩然,1934年11月29日,男,海南省文昌市,"(19.750947380144982, 110.78090944498922)",中山大学生命科学学院水生经济动物研究所,"(23.099235598775074, 113.30224537937504)",鱼类生理学家和鱼类养殖学家
李文华,1932年1月15日,男,山东省广饶县,"(37.162071119183594, 118.538569311961)",中国科学院地理科学与资源研究所,"(40.00884765106318, 116.39144790390881)",生态学和森林学家
李佩成,1934年12月26日,男,陕西省咸阳市乾县,"(34.52767257979596, 108.22948289516398)",长安大学环境科学与工程学院,"(34.23143718302838, 108.96471795079833)",农业水土工程及水资源与环境专家
蒋亦元,1928年11月17日,男,江苏省常州市,"(31.771396744684242, 119.98186101345706)",东北农业大学,"(45.750973943316666, 126.73602766055059)",农业机械化专家
侯锋,1928年2月3日,男,山东省平度市,"(36.78855004713476, 119.95106201677129)",天津市农业科学院,"(39.108527761260405, 117.1618775198116)",蔬菜育种专家
官春云,1938年2月21日,男,湖北省荆州市,"(30.33259052298605, 112.24186580719135)",湖南农业大学,"(28.18522109397991, 113.08950664109679)",油菜遗传育种和栽培专家
戴景瑞,1934年9月1日,男,辽宁省海城市,"(40.84035424752339, 122.79120058219287)",中国农业大学,"(40.01327629804713, 116.36082267393714)",玉米遗传育种专家
陈宗懋,1933年10月1日,男,浙江省海盐县,"(30.526042585393665, 120.88557558868224)",中国农业科学院,"(45.76881821907204, 126.67096407697129)",茶学专家
邹学校,1963年7月24日,男,湖南省衡阳县,"(27.10962611386242, 112.35157940823285)",湖南省农业科学院,"(28.207165718960187, 113.0935943156406)",蔬菜学专家
朱有勇,1955年11月16日,男,云南省个旧市,"(23.305692435100664, 103.14915471407801)",云南农业大学,"(25.134152710381368, 102.75599687214199)",植物病理学专家
赵振东,1942年9月25日,男,山东省德州市,"(37.46082592630501, 116.32816136356094)",山东省农业科学院,"(37.35534441719453, 119.9597952228592)",作物遗传育种专家
赵春江,1964年4月28日,男,河北省保定市,"(38.88656454802744, 115.49481016907626)",北京市农林科学院国家农业信息化工程技术研究中心,"(39.949946411273274, 116.29402535443582)",农业信息化专家
张新友,1963年8年6日,男,河南省太康县,"(34.09709624887362, 114.85570075513604)",河南省农业科学院,"(33.71236845204211, 113.31806577741335)",植物遗传育种专家
张守攻,1957年7月1日,男,安徽省怀远县,"(33.03713074598389, 117.04208647135957)",中国林业科学研究院,"(40.01083279713364, 116.25464456703138)",森林培育和森林经理专家
张洪程,1951年2月24日,男,江苏省南通市,"(32.014664540823446, 120.87380095093022)",扬州大学,"(32.34488802522604, 119.40458087747724)",作物栽培学与耕作学家
张改平,1960年12月26日,男,河南省内黄县,"(35.9065690636757, 114.82334356443019)",河南农业大学,"(34.791317844366645, 113.66940637076186)",动物免疫学和免疫膜层析快速检测技术专家
辛世文,1942年9月15日,男,广东省湛江市,"(21.257463103764316, 110.36506726285033)",香港中文大学,"(22.692233625390717, 114.21719381769176)",农业生物技术专家
夏咸柱,1939年1月1日,男,江苏省盐城市建湖县,"(33.48890798663351, 119.83649673997304)",军事医学科学院生物工程研究所,"(28.00440758071149, 120.65938555870663)",动物病毒学家
吴孔明,1964年7月18日,男,河南省固始县,"(32.136943904850405, 115.70974321124666)",中国农业科学院,"(45.76881821907204, 126.67096407697129)",农业昆虫学专家
王汉中,1963年12月27日,男,湖南省娄底市涟源市,"(27.743727453351454, 111.79458146238385)",中国农业科学院,"(45.76881821907204, 126.67096407697129)",油菜遗传育种学家
万建民,1960年6月1日,男,江苏省泰兴市,"(32.213678940627226, 120.13534629200471)",中国农业科学院,"(45.76881821907204, 126.67096407697129)",水稻育种首席专家
唐启升,1943年12月25日,男,辽宁省大连市,"(38.94870993830429, 121.59347778143518)",中国水产科学研究院,"(39.90138664099571, 116.26997110440516)",海洋渔业与生态学家
唐华俊,1960年10月16日,男,四川省阆中市,"(31.60211734888562, 106.07809314825234)",中国农业科学院,"(45.76881821907204, 126.67096407697129)",农业土地资源专家
南志标,1951年10月5日,男,河北省曲阳县,"(38.70661221492098, 114.66066397519262)",兰州大学,"(36.05176268776661, 103.86650072707492)",草业科学专家
麦康森,1958年10月1日,男,广东省化州市,"(21.845482259109232, 110.5395914683753)",中国海洋大学,"(40.66398330016296, 109.82462314598851)",海洋学家
罗锡文,1945年12月2日,男,湖南省株洲市,"(27.82743292766265, 113.13169534107074)",华南农业大学,"(23.164307295779366, 113.36011537912282)",农业机械化工程专家
刘旭,1953年12月1日,男,河北省定县,"(38.61383974925108, 115.66143362422224)",中国工程院,"(39.95681575330512, 116.38369901098648)",植物种质资源学家
李玉,1944年1月30日,男,山东省济南市,"(36.68278472716141, 117.02496706629023)",吉林农业大学,"(43.81651055268036, 125.41637264801672)",菌物学专家
刘秀梵,1941年5月19日,男,江苏省靖江市,"(32.03944278904915, 120.27689862725084)",扬州大学,"(32.34488802522604, 119.40458087747724)",动物传染病学专家
李坚,1943年2月13日,男,辽宁省阜新市,"(42.01925010706022, 121.66082212856833)",东北林业大学,"(45.72745750838611, 126.64553065220286)",木材科学专家
李天来,1955年11月12日,男,辽宁省绥中县,"(40.30512900582333, 120.02630174191806)",沈阳农业大学,"(41.832633901404584, 123.57630195153908)",设施园艺专家
康振生,1957年10月13日,男,四川省资阳市安岳县,"(29.999677270421575, 105.40087577249899)",西北农林科技大学,"(34.26792359531339, 108.07823206714427)",植物病理学家
康绍忠,1962年11月16日,男,湖南省桃源县,"(28.917817681601637, 111.27070654870533)",中国农业大学,"(40.01327629804713, 116.36082267393714)",农业水土工程专家
金宁一,1956年3月11日,男,吉林省龙井市,"(42.84424932076874, 129.3838162246915)",中国民解放军军事医学科学院,"(35.24171236301076, 113.23080396515695)",病毒学家
李德发,1953年12月28日,男,河北省隆化县,"(41.517994972230575, 117.56992967904758)",中国农业大学,"(40.01327629804713, 116.36082267393714)",动物营养与饲料科学专家
程顺和,1939年9月2日,男,江苏省常州市溧阳市,"(31.42524193101212, 119.38283894830988)",江苏省农业科学院,"(32.03989422197746, 118.8773196795648)",作物遗传育种专家
陈学庚,1947年4月29日,男,江苏省泰兴市,"(32.213678940627226, 120.13534629200471)",新疆农垦科学院,"(44.31438958558233, 86.01284331035626)",农业机械设计制造专家
陈温福,1955年12月28日,男,辽宁省沈阳市法库县,"(42.41529783956206, 123.24889709003406)",沈阳农业大学,"(41.832633901404584, 123.57630195153908)",农学家
陈剑平,1963年4月8日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",浙江省农业科学院,"(30.312396444992082, 120.20156743334115)",植物病理学专家
包振民,1961年12月27日,男,山东省青岛市,"(36.10521490127382, 120.38442818368189)",中国海洋大学,"(40.66398330016296, 109.82462314598851)",贝类遗传学与育种学专家
周翔,1934年9月26日,女,上海市,"(31.24916171001514, 121.48789948569473)",东华大学,"(31.213032837552788, 121.42024459434678)",纺织化学与染整工程专家
郁铭芳,1927年10月3日,男,上海市,"(31.24916171001514, 121.48789948569473)",东华大学,"(31.213032837552788, 121.42024459434678)",化纤专家
姚穆,1930年5月13日,男,江苏省南通市,"(32.014664540823446, 120.87380095093022)",西安工程大学,"(34.2640151358247, 109.00644025685357)",纺织材料专家
王文兴,1927年10月17日,男,中国安徽省宿州市萧县,"(34.20852964105205, 116.81242175883649)",山东大学,"(37.53770894705878, 122.07035484954805)",环境化学家
唐孝炎,1932年10月16日,女,上海市,"(31.24916171001514, 121.48789948569473)",北京大学,"(39.9990063940118, 116.31515020145268)",环境科学专家
汤鸿霄,1931年10月4日,男,河北徐水,"(39.03007206483382, 115.56341421451756)",中国科学院生态环境研究中心,"(40.01372448731036, 116.34993266805328)",环境工程学与环境水质学专家
季国标,1932年3月1日,男,江苏无锡,"(31.57003745192303, 120.30545590053595)",国务院国资委,"(39.970937882708895, 116.41501969111788)",化学纤维工程技术专家
陈联寿,1934年3月14日,男,浙江定海,"(30.064847161589736, 122.07302446869352)",中国气象科学研究院,"(39.95470118201021, 116.33370471343925)",大气科学专家
蔡道基,1935年6月1日,男,浙江省温岭市,"(28.4005538171066, 121.42104597878073)",环境保护部南京环境科学研究所,"(32.08577819666838, 118.83617109788287)",环境毒理学（农药环境毒理学）专家
朱利中,1959年10月19日,男,浙江上虞,"(29.159494120760925, 119.95720242066378)",浙江大学,"(29.896502974160494, 121.64415166666014)",环境工程专家
朱蓓薇,1957年3月23日,女,陕西省咸阳市,"(34.34537299599856, 108.70750927819563)",大连工业大学,"(46.813550818805226, 130.38244463451366)",食品工程领域专家
蒋士成,1934年9月23日,男,江苏省常州市,"(31.771396744684242, 119.98186101345706)",仪征化纤股份有限公司,"(30.907819747965743, 120.65472633536213)",化纤工程设计与技术管理专家
张远航,1957年7月9日,男,重庆市城口县,"(31.888131392208944, 108.74185516517073)",北京大学,"(39.9990063940118, 116.31515020145268)",大气环境专家
袁业立,1938年3月29日,男,山东荣成,"(37.128686091876, 122.40692581531741)",国家海洋局,"(39.91386600253994, 116.36063423369538)",物理海洋学家和海洋工程环境专家
俞建勇,1964年5月26日,男,上海,"(31.24916171001514, 121.48789948569473)",东华大学,"(31.213032837552788, 121.42024459434678)",纺织材料专家
张懿,1939年6月1日,女,黑龙江省牡丹江市,"(44.58852115278252, 129.608035395637)",中国科学院过程工程研究所,"(39.99542126998509, 116.33397355112581)",绿色过程工程与环境工程专家
徐祥德,1942年7月12日,男,浙江余姚市,"(29.99645671901067, 121.15277918828542)",中国气象科学研究院,"(39.95470118201021, 116.33370471343925)",气象学家
谢剑平,1959年8月11日,男,江苏常州,"(31.771396744684242, 119.98186101345706)",中国烟草总公司郑州烟草研究院,"(34.82168378797044, 113.57297749899654)",烟草化学专家
杨志峰,1963年8月20日,男,河北省石家庄市,"(38.048958314615454, 114.52208184420766)",北京师范大学,"(39.966688140275465, 116.3724555802743)",环境生态规划与修复专家
许健民,1944年8月2日,男,上海市,"(31.24916171001514, 121.48789948569473)",国家卫星气象中心,"(39.95541468058938, 116.33374674695065)",卫星气象专家
吴清平,1962年11月15日,男,广东省梅州市,"(24.30457060603053, 116.12640309836864)",广东省微生物研究所,"(23.146380492168603, 113.3055255679945)",食品安全科学技术专家
吴丰昌,1964年8月23日,男,浙江衢州,"(28.95691044753569, 118.87584165150854)",中国环境科学研究院,"(40.049420468081, 116.42224088704465)",环境基准标准与污染防治专家
宋君强,1962年7月21日,男,湖南省宁乡县,"(28.131212630242164, 112.36046547366017)",国防科学技术大学,"(28.22783118626491, 113.00625667025851)",数值天气预报和高性能计算专家
石碧,1958年6月21日,男,四川成都,"(30.36748093795755, 102.89915972360397)",四川大学,"(30.636985820461657, 104.08904497670915)",皮革化学与工程专家
曲久辉,1957年10月1日,男,吉林长春,"(43.89833760709784, 125.31364242720072)",中国科学院生态环境研究中心,"(40.01372448731036, 116.34993266805328)",环境工程专家
瞿金平,1957年6月4日,男,湖北省黄梅县,"(29.998875662752656, 115.94188335896334)",华南理工大学,"(23.157509509486243, 113.3514499936)",轻工机械工程专家
庞国芳,1943年10月10日,男,河北省滦南县,"(39.36073889990078, 118.54938466455619)",中国检验检疫科学研究院,"(39.91823474904282, 116.5269680014839)",食品科学检测技术学科专家
潘德炉,1945年12月26日,男,浙江东阳,"(29.237426947340783, 120.38081772667813)",国家海洋局,"(39.91386600253994, 116.36063423369538)",海洋遥感专家
刘文清,1954年1月9日,男,江苏省徐州市,"(34.27155343109188, 117.18810662317686)",中国科学院合肥物质科学研究院,"(31.898752699173006, 117.17743590354937)",环境监测技术专家
蒋兴伟,1959年3月18日,男,山东莒南,"(35.21312322003471, 118.89007890267528)",国家卫星海洋应用中心,"(39.95769638570248, 116.3344688085128)",海洋技术专家
侯立安,1957年8月24日,男,江苏省徐州市丰县,"(34.69577332862766, 116.61573315372702)",火箭军后勤科学技术研究所,"(35.495627436161364, 112.85481786876909)",环境工程专家
侯保荣,1942年1月3日,男,山东省曹县,"(34.82795276718242, 115.55360067628013)",中国科学院海洋研究所,"(36.06128656317682, 120.35216561315546)",海洋腐蚀与防护专家
李家彪,1961年4月24日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",国家海洋局第二海洋研究所,"(30.28619588871584, 120.14618949744886)",海洋地质专家
贺克斌,1962年8月28日,男,四川成都,"(30.36748093795755, 102.89915972360397)",清华大学环境学院,"(40.004169889320494, 116.34141261129132)",大气污染防治专家
丁一汇,1938年7月18日,男,山东省曹县,"(34.82795276718242, 115.55360067628013)",中科院大气物理研究所,"(39.98416714710893, 116.39413453716364)",天气与气候学家
丁德文,1941年2月7日,男,辽宁省辽阳市,"(41.27333926556943, 123.17245120514733)",国家海洋局第一海洋研究所,"(36.108795623042575, 120.46583867459216)",海洋生态-环境科学与工程专家
陈克复,1942年10月5日,男,广东海丰,"(22.969599520285772, 115.2863223299044)",华南理工大学,"(23.157509509486243, 113.3514499936)",制浆造纸工程专家
陈坚,1962年5月1日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",江南大学,"(31.49402176544785, 120.27977730393977)",发酵与轻工生物技术专家
朱伯芳,1928年10月17日,男,江西余江,"(28.321070494465427, 116.92157395441147)",中国水利水电科学研究院,"(39.93648860044943, 116.3290521987623)",水工结构专家
周君亮,1925年2月22日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",江苏省水利厅,"(32.050487504684085, 118.78282300276499)",水工建筑物设计专家
周镜,1925年12月21日,男,江西省南昌市,"(28.689578000141147, 115.89352754583604)",中国铁道科学研究院,"(39.9950724780051, 116.51685283530583)",岩土工程专家
邹德慈,1934年10月1日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国城市规划设计研究院,"(39.93864092383717, 116.33697625946247)",城市规划专家
钟训正,1929年7月9日,男,湖南省武冈县,"(26.786578072622373, 110.7458153391896)",东南大学,"(32.06252933589934, 118.80499856090633)",建筑学家
郑哲敏,1924年10月2日,男,山东济南,"(36.68278472716141, 117.02496706629023)",中国科学院力学所,"(39.99353494834108, 116.33729818341148)",应用力学家
郑颖,1933年11月5日,男,浙江镇海县,"(29.995449382446232, 121.61663045279363)",后勤工程学院,"(29.54180733876812, 106.5044132204666)",岩土工程与地下工程专家
叶可明,1937年3月28日,男,上海市金山县,"(30.919400670176675, 121.29705394111659)",上海建工(集团)总公司,"(31.211523878384778, 121.45497504636347)",建筑工程与土木工程施工技术专家
许其凤,1936年1月5日,男,天津市,"(39.143929903310074, 117.21081309155257)",解放军信息工程大学,"(35.24171236301076, 113.23080396515695)",中国卫星导航定位专家
谢世楞,1935年5月1日,男,浙江慈溪,"(30.189257122713578, 121.3384082593209)",中交第一航务工程勘察设计院有限公司,"(39.08008140059001, 117.27066126245924)",港口和海岸工程专家
项海帆,1935年12月19日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",同济大学,"(31.287434846433307, 121.51979368089422)",桥梁及结构工程专家
吴良镛,1922年1月1日,男,江苏南京,"(32.05723550180587, 118.77807440802562)",建筑与城市研究所,"(31.57612265071018, 120.30188191481022)",建筑学与城市规划专家
文伏波,1925年8月4日,男,湖南省桃江县,"(28.464142378680922, 111.99046415182826)",水利部长江水利委员会,"(30.617344092690153, 114.31333922600503)",水利工程专家
魏敦山,1933年5月30日,男,浙江省慈溪县,"(29.994069361270345, 121.45664202996038)",上海建筑设计集团,"(39.84268093208807, 116.39398171024384)",建筑设计专家
王景全,1937年11月8日,男,江西省南昌市,"(28.689578000141147, 115.89352754583604)",解放军理工大学,"(35.24676900702004, 113.23607351510903)",桥梁工程专家
王家耀,1936年5月15日,男,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",解放军信息工程大学,"(35.24171236301076, 113.23080396515695)",地图学与地理信息工程专家
王光远,1924年3月25日,男,河南省温县,"(34.95025990507197, 113.05529612566157)",哈尔滨建筑大学,"(45.7732246332393, 126.65771685544611)",结构力学和工程设计理论专家
钱正英,1923年7月4日,女,浙江省嘉兴市,"(30.77399223958183, 120.76042769895746)",水利部,"(39.891863832679064, 116.36489136818517)",水利水电专家
钱七虎,1937年10月26日,男,江苏省昆山,"(31.32893679549736, 120.96580778410554)",哈尔滨军事工程学院,"(45.7732246332393, 126.65771685544611)",防护工程和地下工程专家
宁津生,1932年10月22日,男,安徽省桐城县,"(30.97256797210734, 116.95355904596255)",武汉大学,"(30.543433850693063, 114.3721704477015)",大地测量学家
罗绍基,1933年12月1日,男,广东省广州市,"(23.12004910207623, 113.30764967515182)",广东抽水蓄能发电有限公司,"(23.40800372902474, 113.3948175587587)",发电工程专家
卢耀如,1931年5月1日,男,福建省福州市,"(26.04712549657293, 119.33022110712668)",中国地质科学院、同济大学,"(39.933016720212834, 116.34297110128331)",水文地质与环境地质学家
龙驭球,1926年1月15日,男,湖南省安化县,"(28.286580101198023, 111.39078157302447)",清华大学,"(40.00864488780562, 116.33375156995295)",土木工程和结构力学专家
林元培,1936年2月8,男,福建省莆田,"(25.448450136734262, 119.07773096395962)",上海市政工程设计研究总院,"(31.291071381459307, 121.5129039093955)",林元培桥梁专家
廖振鹏,1937年2月8日,男,四川成都,"(30.36748093795755, 102.89915972360397)",中国地震局工程力学研究所,"(45.72057487096541, 126.61675599536123)",地震工程与波动理论专家
李猷嘉,1932年11月21日,男,江苏省常州市,"(31.771396744684242, 119.98186101345706)",中国市政工程华北设计研究院,"(23.011114565383913, 113.75953453636959)",燃气供应专家
李圭白,1931年9月25日,男,河南省偃师县,"(34.630801858345976, 112.73482167429046)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",市政工程专家
李道增,1930年1月19,男,安徽省合肥市,"(31.86694226068694, 117.28269909168304)",清华大学建筑学院,"(40.005219893701586, 116.33963865284142)",建筑学专家
黄熙龄,1927年4月24日,男,湖北钟祥,"(31.244981073963892, 112.58482623118623)",中国建筑科学研究院,"(39.9745933129387, 116.41974845755972)",岩土工程专家
冯叔瑜,1924年6月20日,男,四川省邻水县,"(30.263283994028097, 107.00333361945643)",中国铁道科学研究院,"(39.9950724780051, 116.51685283530583)",爆破工程专家
周绪红,1956年9月11日,男,湖南南县,"(29.24271434572909, 112.44449921859966)",重庆大学,"(29.57078101532597, 106.47541107674738)",结构工程专家
周福霖,1939年6月12日,男,广东潮阳,"(23.347253898105922, 116.4854475354356)",广州大学工程抗震研究中心,"(23.164397572822846, 113.28093308115785)",工程结构与抗震减震专家
周丰峻,1938年7月8日,男,山东省黄县,"(37.65994684701364, 120.52705951560627)",总参工程兵第三研究所,"(39.82207413021853, 119.50130194287242)",防护工程专家
钟登华,1963年11月20日,男,江西省赣县,"(25.902025439609922, 115.07258602936642)",天津大学,"(39.11876347552782, 117.1805305768109)",水利水电工程专家
郑守仁,1940年1月1日,男,安徽颍上,"(32.66246022080341, 116.26531418264587)",河海大学,"(31.824963824479074, 119.98737544149115)",水利专家
郑皆连,1941年7月17日,男,四川省内江市,"(29.599461534774647, 105.07305599171474)",重庆交通学院,"(29.493726404515897, 106.57850661232938)",路桥工程专家
郑健龙,1954年5月25日,男,湖南省邵阳市邵东县,"(27.1936536894769, 111.85672034136176)",长沙理工大学,"(28.16083825968653, 112.98539045259132)",道路工程专家
张建云,1957年8月1日,男,江苏省沛县,"(34.70064816469446, 116.91146840814552)",南京水利科学研究院,"(32.05275628483541, 118.77203766833749)",水文水资源专家
张建民,1960年3月16日,男,陕西省商洛市,"(33.87390739508516, 109.93420815379513)",清华大学,"(40.00864488780562, 116.33375156995295)",岩土工程专家
谢先启,1960年12月28日,男,湖北洪湖,"(29.99677200041505, 113.53891465228034)",武汉航空港发展集团有限公司,"(30.58108412692075, 114.31620010268132)",工程爆破专家
谢礼立,1939年3月11日,男,上海,"(31.24916171001514, 121.48789948569473)",中国地震局工程力学研究所,"(45.72057487096541, 126.61675599536123)",地震与防灾工程专家
肖绪文,1953年4月13日,男,陕西商洛市山阳县,"(33.42768439768105, 109.98131923575735)",中建技术中心,"(30.252199106234947, 120.18233199140515)",建筑施工领域专家
吴中如,1939年9月9日,男,江苏省宜兴市,"(31.362244911878832, 119.79026529658498)",河海大学,"(31.824963824479074, 119.98737544149115)",水工结构专家
王小东,1939年1月17日,男,山东平度市,"(36.78855004713476, 119.95106201677129)",新疆建筑设计研究院,"(43.80939150683867, 87.61746300909337)",建筑设计及理论研究专家
王瑞珠,1940年4月2日,男,湖南省衡阳市,"(26.89816441535812, 112.58381881071617)",中国城市规划设计研究院,"(39.93864092383717, 116.33697625946247)",建筑学家
王梦恕,1938年12月24日,男,河南省温县,"(34.95025990507197, 113.05529612566157)",中国铁路工程总公司,"(39.896013433733835, 116.32691096630802)",隧道及地下工程专家
吴志强,1960年8月1日,男,上海市,"(31.24916171001514, 121.48789948569473)",同济大学,"(31.287434846433307, 121.51979368089422)",城乡规划学家
王超,1958年7月19日,男,江苏省滨海县,"(34.09231717639178, 120.02660867811394)",河海大学环境学院,"(32.06189312611344, 118.76701869262267)",水资源保护专家
秦顺全,1963年7月15日,男,四川省绵竹市,"(31.436657312107748, 104.12929386201316)",中铁大桥勘测设计院集团有限公司,"(43.852846785696926, 126.55149903606502)",桥梁工程专家
彭永臻,1949年1月1日,男,山东省莱州市,"(37.19040137439831, 120.001343529444)",北京工业大学,"(39.88128329392662, 116.48981343252308)",污水处理专家
谭述森,1942年1月30日,男,重庆开县,"(31.27710066076536, 108.38926046638842)",成都电讯工程学院,"(30.679942845419564, 104.06792346330406)",卫星导航系统总体设计专家
欧进萍,1959年3月8日,男,湖南省宁远县,"(25.65383956423053, 111.9880631639827)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",结构监测、控制与防灾减灾工程专家
任南琪,1959年3月1日,男,江苏宜兴,"(31.362244911878832, 119.79026529658498)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",污水处理专家
任辉启,1953年5月5日,男,湖南省长沙市,"(28.21347823085322, 112.9793527876505)",军委后勤保障部某研究所,"(33.78887600585482, 112.94596443644069)",武器毁伤效应与工程防护专家
聂建国,1958年8月4日,男,湖南省衡阳县,"(27.10962611386242, 112.35157940823285)",清华大学,"(40.00864488780562, 116.33375156995295)",结构工程专家
钮新强,1962年7月2日,男,浙江省湖州市,"(30.877925155690896, 120.13724316328172)",水利部长江水利委员会长江勘测规划设计研究院,"(30.730568633963312, 111.29973116470322)",水工结构专家
梁文灏,1941年9月18日,男,上海,"(31.24916171001514, 121.48789948569473)",铁道第一勘察设计院,"(50.43168577585131, 124.16384188644363)",隧道及地下工程专家
李建成,1964年12月1日,男,内蒙古集宁市,"(41.02776597146905, 113.11283222874056)",武汉大学测绘学院,"(30.532359555776818, 114.36842686638704)",大地测量学家
江欢成,1938年11月23日,男,广东梅州市,"(24.30457060603053, 116.12640309836864)",清华大学,"(40.00864488780562, 116.33375156995295)",工程结构专家
刘经南,1943年7月1日,男,湖南长沙,"(28.21347823085322, 112.9793527876505)",国家卫星定位系统工程技术研究中心,"(30.624158795739685, 114.2959464575006)",长期从事大地测量理论专家
